Thread Frame #,Time spent in reading the frame from ip camera (seconds),Time spent performing inference on the frame (seconds)
57,0.011344899999997438,0.04619819999999919
58,0.012632800000005773,0.04400699999999347
59,0.010856199999999205,0.045224599999997395
60,0.012155499999998653,0.04382149999999996
61,0.012428900000003296,0.047184899999997754
62,0.018146300000005056,0.04368699999999848
63,0.01023249999999365,0.04275350000000344
64,0.013267999999996505,0.04476949999999391
65,0.016210699999994915,0.04636520000000388
66,0.011704299999998113,0.04417150000000447
67,0.010696699999996895,0.04685669999999931
68,0.012640399999995111,0.0410806000000008
69,0.010387100000002647,0.04302669999999864
70,0.010652699999994297,0.0440638999999976
71,0.01064119999999491,0.04431860000000398
72,0.02113360000000597,0.04252190000000411
73,0.010714900000003524,0.043726100000000656
74,0.010454500000001588,0.04296230000000634
75,0.010083600000001525,0.041118900000000735
76,0.011714200000000119,0.043751899999996624
77,0.010779100000000597,0.04462430000000239
78,0.011458700000005706,0.04295760000000115
79,0.010722200000003568,0.047400600000003124
80,0.01252779999999376,0.04017999999999944
81,0.011623200000002498,0.04313780000000378
82,0.011323300000000813,0.04200010000000276
83,0.012135700000001748,0.04584840000000412
84,0.011515500000001566,0.045980900000003544
85,0.011285300000004383,0.043598199999998144
86,0.014071799999996415,0.03946599999999734
87,0.009833299999996825,0.04531450000000348
88,0.011218499999998244,0.04101499999999447
89,0.009999399999998104,0.04994359999999887
90,0.013517399999997792,0.04320510000000155
91,0.01114409999999566,0.04804010000000147
92,0.018117099999997777,0.039613400000000354
93,0.01182089999999647,0.04217690000000118
94,0.011904899999997554,0.04569129999999433
95,0.014207700000000045,0.044362499999998306
96,0.010308700000003057,0.041992299999996874
97,0.010428799999999683,0.04739139999999509
98,0.013621900000003961,0.05709909999999496
99,0.013986100000003887,0.04402659999999514
100,0.010148800000003178,0.04349119999999829
101,0.013625300000001062,0.04583269999999828
102,0.011473799999997425,0.04659260000000387
103,0.009864399999997886,0.046441700000002584
104,0.01214920000000319,0.046846199999997395
105,0.02107939999999786,0.04333299999999696
106,0.010218900000005249,0.04647319999999411
107,0.012840199999999413,0.04471980000000286
108,0.012077800000000138,0.04564820000000225
109,0.011820000000000164,0.04755509999999674
110,0.02314319999999981,0.04046290000000141
111,0.0121029999999962,0.039171400000000745
112,0.011266999999996585,0.0418295999999998
113,0.012310100000000546,0.04024960000000277
114,0.011677499999997565,0.03979869999999863
115,0.010140999999997291,0.0434701000000004
116,0.009610900000005529,0.19476680000000357
117,0.0118396999999959,0.3701227999999972
118,0.014944299999996247,0.39121029999999735
119,0.02342930000000365,0.6751781999999977
120,0.013583799999999258,0.29663640000000413
121,0.01740170000000063,0.23742929999999518
122,0.015002299999999025,0.2801703999999958
123,0.016467899999994984,0.26855739999999884
124,0.015383700000001,0.3054164000000057
125,0.014376599999998518,0.2596626999999998
126,0.011553700000000333,0.2655987000000053
127,0.012944699999998477,0.26126399999999705
128,0.024167399999996064,0.07496049999999599
129,0.020316300000004617,0.05365019999999987
130,0.015409000000005335,0.2217258999999956
131,0.011847700000004124,0.23747429999999525
132,0.014562200000000303,0.3253891999999965
133,0.014547899999996616,0.3677227999999957
134,0.02115750000000105,0.38212219999999775
135,0.019953300000004504,0.3861672000000027
136,0.017685999999997648,0.3961126999999962
137,0.019707699999997885,0.08014909999999986
138,0.014406499999999767,0.3853332999999992
139,0.01582870000000014,0.3800054999999958
140,0.021798099999998044,0.3852418999999969
141,0.02180529999999692,0.3911336999999975
142,0.02207260000000133,0.3922043999999971
143,0.042304099999995515,0.09270460000000469
144,0.017995599999991896,0.07355109999998888
145,0.014123600000004899,0.07389440000000036
146,0.01538289999999165,0.4184944999999942
147,0.04013729999999782,0.10657360000000438
148,0.019444599999999923,0.07987549999999999
149,0.012580799999994952,0.3944431000000037
150,0.01776120000000958,0.4006543999999934
151,0.023003900000006183,0.36458229999999503
152,0.014583399999992253,0.28562649999999223
153,0.0141241999999977,0.2814185000000009
154,0.01743090000000791,0.2544469000000049
155,0.02273710000000051,0.2751142999999985
156,0.017262600000009343,0.24504089999999223
157,0.012266499999995517,0.30491440000000125
158,0.013741499999994744,0.2771453999999949
159,0.016452300000011633,0.3130453999999929
160,0.016914300000010485,0.07664789999999755
161,0.017308400000004553,0.05960160000000769
162,0.020937000000003536,0.08531370000000038
163,0.013683799999995472,0.08701929999999436
164,0.02119279999999435,0.08169789999999466
165,0.017234400000006644,0.07406639999999243
166,0.013724800000005644,0.06204759999999965
167,0.021288099999992482,0.08972540000000606
168,0.02001410000001158,0.0823610000000059
169,0.021806299999994394,0.08085800000000631
170,0.015520100000003367,0.07145630000000835
171,0.017910299999996937,0.07540450000000476
172,0.021792100000013193,0.08434880000000078
173,0.01567529999999806,0.07251979999999492
174,0.01729730000000984,0.08507600000000082
175,0.02461029999999198,0.08839430000000448
176,0.015493200000008756,0.07139079999998899
177,0.015620100000006687,0.06429719999999861
178,0.01921199999999601,0.07396169999999813
179,0.015246200000007093,0.07428070000000275
180,0.015628800000001775,0.07656570000000329
181,0.019506299999989096,0.07055899999998871
182,0.017667500000001723,0.09513919999999132
183,0.01594140000000266,0.07131569999999954
184,0.016489399999997545,0.07571459999999774
185,0.020849699999999416,0.08291210000000149
186,0.01793669999999281,0.07125100000000373
187,0.019092599999993354,0.07759569999998917
188,0.014696999999998184,0.06526569999999765
189,0.01820029999998951,0.07313870000000122
190,0.019604099999995128,0.07805209999999363
191,0.017843299999995565,0.08890700000000606
192,0.018455799999998135,0.06877500000000225
193,0.012991200000001868,0.08163410000000226
194,0.02137590000000955,0.0878091000000012
195,0.02319710000000441,0.09124489999999241
196,0.013993200000001593,0.08236180000000104
197,0.02347140000000536,0.08019989999999666
198,0.021572899999995343,0.08499830000000941
199,0.0208826000000073,0.08394380000000012
200,0.020065399999992906,0.08467389999999853
